Typ indexu;Ukazatel;Očištění;Území;CZ NACE;Čtvrtletí;value
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75);1. čtvrtletí 2000;
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75);2. čtvrtletí 2000;
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75);3. čtvrtletí 2000;
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75);4. čtvrtletí 2000;
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75);1. čtvrtletí 2001;
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75);2. čtvrtletí 2001;
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75);3. čtvrtletí 2001;
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75);4. čtvrtletí 2001;
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75);1. čtvrtletí 2002;
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75);2. čtvrtletí 2002;
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75);3. čtvrtletí 2002;
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75);4. čtvrtletí 2002;
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75);1. čtvrtletí 2003;
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75);2. čtvrtletí 2003;
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75);3. čtvrtletí 2003;
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75);4. čtvrtletí 2003;
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75);1. čtvrtletí 2004;
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75);2. čtvrtletí 2004;
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75);3. čtvrtletí 2004;
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75);4. čtvrtletí 2004;
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75);1. čtvrtletí 2005;
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75);2. čtvrtletí 2005;
