Typ indexu,Ukazatel,Očištění,Území,CZ NACE,Měsíce,value
Meziroční index,Index produkce služeb - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75)",leden 2014,
Meziroční index,Index produkce služeb - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75)",únor 2014,
Meziroční index,Index produkce služeb - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75)",březen 2014,
Meziroční index,Index produkce služeb - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75)",duben 2014,
Meziroční index,Index produkce služeb - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75)",květen 2014,
Meziroční index,Index produkce služeb - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75)",červen 2014,
Meziroční index,Index produkce služeb - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75)",červenec 2014,
Meziroční index,Index produkce služeb - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75)",srpen 2014,
Meziroční index,Index produkce služeb - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75)",září 2014,
Meziroční index,Index produkce služeb - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75)",říjen 2014,
Meziroční index,Index produkce služeb - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75)",listopad 2014,
Meziroční index,Index produkce služeb - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75)",prosinec 2014,
Meziroční index,Index produkce služeb - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75)",leden 2015,
Meziroční index,Index produkce služeb - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75)",únor 2015,
Meziroční index,Index produkce služeb - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75)",březen 2015,
Meziroční index,Index produkce služeb - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75)",duben 2015,
Meziroční index,Index produkce služeb - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75)",květen 2015,
Meziroční index,Index produkce služeb - stálé ceny (%),Bez očištění,Česko,"H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75)",červen 2015,
