Roky;Ukazatel;Rezidence;Oblasti destinačního managementu nečleněné;Kategorie ubytovacího zařízení;value
2023;Počet hostů;Celkem;Praha;HUZ celkem;7442614.0
2023;Počet hostů;Celkem;Praha;Hotel *****;1109736.0
2023;Počet hostů;Celkem;Praha;Hotel, motel, botel ****;3827396.0
2023;Počet hostů;Celkem;Praha;Hotel, motel, botel ***;1665675.0
2023;Počet hostů;Celkem;Praha;Hotel, motel, botel **;65958.0
2023;Počet hostů;Celkem;Praha;Hotel, motel, botel *;15708.0
2023;Počet hostů;Celkem;Praha;Hotel garni;126695.0
2023;Počet hostů;Celkem;Praha;Penzion;100235.0
2023;Počet hostů;Celkem;Praha;Kemp;44396.0
2023;Počet hostů;Celkem;Praha;Chatová osada;
2023;Počet hostů;Celkem;Praha;Turistická ubytovna;189821.0
2023;Počet hostů;Celkem;Praha;Ostatní HUZ;296994.0
2023;Počet hostů;Celkem;Berounsko;HUZ celkem;118765.0
2023;Počet hostů;Celkem;Berounsko;Hotel *****;
2023;Počet hostů;Celkem;Berounsko;Hotel, motel, botel ****;29793.0
2023;Počet hostů;Celkem;Berounsko;Hotel, motel, botel ***;36052.0
2023;Počet hostů;Celkem;Berounsko;Hotel, motel, botel **;
2023;Počet hostů;Celkem;Berounsko;Hotel, motel, botel *;
2023;Počet hostů;Celkem;Berounsko;Hotel garni;
2023;Počet hostů;Celkem;Berounsko;Penzion;14461.0
2023;Počet hostů;Celkem;Berounsko;Kemp;26387.0
2023;Počet hostů;Celkem;Berounsko;Chatová osada;
2023;Počet hostů;Celkem;Berounsko;Turistická ubytovna;3036.0
2023;Počet hostů;Celkem;Berounsko;Ostatní HUZ;4718.0
2023;Počet hostů;Celkem;Brdy a Podbrdsko;HUZ celkem;137696.0
2023;Počet hostů;Celkem;Brdy a Podbrdsko;Hotel *****;
2023;Počet hostů;Celkem;Brdy a Podbrdsko;Hotel, motel, botel ****;28200.0
2023;Počet hostů;Celkem;Brdy a Podbrdsko;Hotel, motel, botel ***;28857.0
2023;Počet hostů;Celkem;Brdy a Podbrdsko;Hotel, motel, botel **;9482.0
2023;Počet hostů;Celkem;Brdy a Podbrdsko;Hotel, motel, botel *;
2023;Počet hostů;Celkem;Brdy a Podbrdsko;Hotel garni;4341.0
2023;Počet hostů;Celkem;Brdy a Podbrdsko;Penzion;29827.0
2023;Počet hostů;Celkem;Brdy a Podbrdsko;Kemp;7875.0
2023;Počet hostů;Celkem;Brdy a Podbrdsko;Chatová osada;
2023;Počet hostů;Celkem;Brdy a Podbrdsko;Turistická ubytovna;2499.0
2023;Počet hostů;Celkem;Brdy a Podbrdsko;Ostatní HUZ;24038.0
2023;Počet hostů;Celkem;Kladensko - Slánsko;HUZ celkem;78968.0
2023;Počet hostů;Celkem;Kladensko - Slánsko;Hotel *****;
2023;Počet hostů;Celkem;Kladensko - Slánsko;Hotel, motel, botel ****;8980.0
2023;Počet hostů;Celkem;Kladensko - Slánsko;Hotel, motel, botel ***;44710.0
2023;Počet hostů;Celkem;Kladensko - Slánsko;Hotel, motel, botel **;
2023;Počet hostů;Celkem;Kladensko - Slánsko;Hotel, motel, botel *;
2023;Počet hostů;Celkem;Kladensko - Slánsko;Hotel garni;
2023;Počet hostů;Celkem;Kladensko - Slánsko;Penzion;13333.0
2023;Počet hostů;Celkem;Kladensko - Slánsko;Kemp;
2023;Počet hostů;Celkem;Kladensko - Slánsko;Chatová osada;
2023;Počet hostů;Celkem;Kladensko - Slánsko;Turistická ubytovna;1114.0
2023;Počet hostů;Celkem;Kladensko - Slánsko;Ostatní HUZ;
2023;Počet hostů;Celkem;Kutnohorsko a Kolínsko;HUZ celkem;149027.0
2023;Počet hostů;Celkem;Kutnohorsko a Kolínsko;Hotel *****;
2023;Počet hostů;Celkem;Kutnohorsko a Kolínsko;Hotel, motel, botel ****;21346.0
2023;Počet hostů;Celkem;Kutnohorsko a Kolínsko;Hotel, motel, botel ***;52367.0
2023;Počet hostů;Celkem;Kutnohorsko a Kolínsko;Hotel, motel, botel **;
2023;Počet hostů;Celkem;Kutnohorsko a Kolínsko;Hotel, motel, botel *;
2023;Počet hostů;Celkem;Kutnohorsko a Kolínsko;Hotel garni;
2023;Počet hostů;Celkem;Kutnohorsko a Kolínsko;Penzion;44821.0
2023;Počet hostů;Celkem;Kutnohorsko a Kolínsko;Kemp;13082.0
2023;Počet hostů;Celkem;Kutnohorsko a Kolínsko;Chatová osada;2554.0
2023;Počet hostů;Celkem;Kutnohorsko a Kolínsko;Turistická ubytovna;3655.0
2023;Počet hostů;Celkem;Kutnohorsko a Kolínsko;Ostatní HUZ;5686.0
2023;Počet hostů;Celkem;Kraj blanických rytířů;HUZ celkem;49231.0
2023;Počet hostů;Celkem;Kraj blanických rytířů;Hotel *****;
2023;Počet hostů;Celkem;Kraj blanických rytířů;Hotel, motel, botel ****;14139.0
2023;Počet hostů;Celkem;Kraj blanických rytířů;Hotel, motel, botel ***;5160.0
2023;Počet hostů;Celkem;Kraj blanických rytířů;Hotel, motel, botel **;6160.0
2023;Počet hostů;Celkem;Kraj blanických rytířů;Hotel, motel, botel *;
2023;Počet hostů;Celkem;Kraj blanických rytířů;Hotel garni;
2023;Počet hostů;Celkem;Kraj blanických rytířů;Penzion;14612.0
2023;Počet hostů;Celkem;Kraj blanických rytířů;Kemp;
2023;Počet hostů;Celkem;Kraj blanických rytířů;Chatová osada;
2023;Počet hostů;Celkem;Kraj blanických rytířů;Turistická ubytovna;1223.0
2023;Počet hostů;Celkem;Kraj blanických rytířů;Ostatní HUZ;4107.0
2023;Počet hostů;Celkem;Mělnicko - Kokořínsko;HUZ celkem;91678.0
2023;Počet hostů;Celkem;Mělnicko - Kokořínsko;Hotel *****;
2023;Počet hostů;Celkem;Mělnicko - Kokořínsko;Hotel, motel, botel ****;13666.0
2023;Počet hostů;Celkem;Mělnicko - Kokořínsko;Hotel, motel, botel ***;28029.0
2023;Počet hostů;Celkem;Mělnicko - Kokořínsko;Hotel, motel, botel **;
2023;Počet hostů;Celkem;Mělnicko - Kokořínsko;Hotel, motel, botel *;
2023;Počet hostů;Celkem;Mělnicko - Kokořínsko;Hotel garni;
2023;Počet hostů;Celkem;Mělnicko - Kokořínsko;Penzion;29797.0
2023;Počet hostů;Celkem;Mělnicko - Kokořínsko;Kemp;11896.0
2023;Počet hostů;Celkem;Mělnicko - Kokořínsko;Chatová osada;
2023;Počet hostů;Celkem;Mělnicko - Kokořínsko;Turistická ubytovna;
2023;Počet hostů;Celkem;Mělnicko - Kokořínsko;Ostatní HUZ;3974.0
2023;Počet hostů;Celkem;Pojizeří a Polabí;HUZ celkem;212782.0
2023;Počet hostů;Celkem;Pojizeří a Polabí;Hotel *****;
2023;Počet hostů;Celkem;Pojizeří a Polabí;Hotel, motel, botel ****;64877.0
2023;Počet hostů;Celkem;Pojizeří a Polabí;Hotel, motel, botel ***;71218.0
2023;Počet hostů;Celkem;Pojizeří a Polabí;Hotel, motel, botel **;13714.0
2023;Počet hostů;Celkem;Pojizeří a Polabí;Hotel, motel, botel *;
2023;Počet hostů;Celkem;Pojizeří a Polabí;Hotel garni;11873.0
2023;Počet hostů;Celkem;Pojizeří a Polabí;Penzion;30953.0
2023;Počet hostů;Celkem;Pojizeří a Polabí;Kemp;5324.0
2023;Počet hostů;Celkem;Pojizeří a Polabí;Chatová osada;
2023;Počet hostů;Celkem;Pojizeří a Polabí;Turistická ubytovna;1556.0
2023;Počet hostů;Celkem;Pojizeří a Polabí;Ostatní HUZ;6581.0
2023;Počet hostů;Celkem;Posázaví;HUZ celkem;332206.0
2023;Počet hostů;Celkem;Posázaví;Hotel *****;
2023;Počet hostů;Celkem;Posázaví;Hotel, motel, botel ****;118825.0
2023;Počet hostů;Celkem;Posázaví;Hotel, motel, botel ***;124544.0
2023;Počet hostů;Celkem;Posázaví;Hotel, motel, botel **;
2023;Počet hostů;Celkem;Posázaví;Hotel, motel, botel *;7175.0
2023;Počet hostů;Celkem;Posázaví;Hotel garni;
2023;Počet hostů;Celkem;Posázaví;Penzion;42569.0
2023;Počet hostů;Celkem;Posázaví;Kemp;22527.0
2023;Počet hostů;Celkem;Posázaví;Chatová osada;4645.0
2023;Počet hostů;Celkem;Posázaví;Turistická ubytovna;3862.0
2023;Počet hostů;Celkem;Posázaví;Ostatní HUZ;3870.0
2023;Počet hostů;Celkem;Rakovnicko;HUZ celkem;41757.0
2023;Počet hostů;Celkem;Rakovnicko;Hotel *****;
2023;Počet hostů;Celkem;Rakovnicko;Hotel, motel, botel ****;
2023;Počet hostů;Celkem;Rakovnicko;Hotel, motel, botel ***;
2023;Počet hostů;Celkem;Rakovnicko;Hotel, motel, botel **;
2023;Počet hostů;Celkem;Rakovnicko;Hotel, motel, botel *;
2023;Počet hostů;Celkem;Rakovnicko;Hotel garni;
2023;Počet hostů;Celkem;Rakovnicko;Penzion;
2023;Počet hostů;Celkem;Rakovnicko;Kemp;
2023;Počet hostů;Celkem;Rakovnicko;Chatová osada;
