Roky;Oblasti destinačního managementu nečleněné;Kategorie ubytovacího zařízení;Ukazatel;value
2023;Praha;HUZ celkem;Počet hromadných ubytovacích zařízení;844.0
2023;Praha;HUZ celkem;Počet pokojů v hromadných ubytovacích zařízeních;44219.0
2023;Praha;HUZ celkem;Počet lůžek v hromadných ubytovacích zařízeních;96257.0
2023;Praha;HUZ celkem;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;1082.0
2023;Praha;Hotel *****;Počet hromadných ubytovacích zařízení;51.0
2023;Praha;Hotel *****;Počet pokojů v hromadných ubytovacích zařízeních;6475.0
2023;Praha;Hotel *****;Počet lůžek v hromadných ubytovacích zařízeních;12724.0
2023;Praha;Hotel *****;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;
2023;Praha;Hotel, motel, botel ****;Počet hromadných ubytovacích zařízení;270.0
2023;Praha;Hotel, motel, botel ****;Počet pokojů v hromadných ubytovacích zařízeních;19434.0
2023;Praha;Hotel, motel, botel ****;Počet lůžek v hromadných ubytovacích zařízeních;40653.0
2023;Praha;Hotel, motel, botel ****;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;
2023;Praha;Hotel, motel, botel ***;Počet hromadných ubytovacích zařízení;190.0
2023;Praha;Hotel, motel, botel ***;Počet pokojů v hromadných ubytovacích zařízeních;9838.0
2023;Praha;Hotel, motel, botel ***;Počet lůžek v hromadných ubytovacích zařízeních;21170.0
2023;Praha;Hotel, motel, botel ***;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;15.0
2023;Praha;Hotel, motel, botel **;Počet hromadných ubytovacích zařízení;17.0
2023;Praha;Hotel, motel, botel **;Počet pokojů v hromadných ubytovacích zařízeních;1142.0
2023;Praha;Hotel, motel, botel **;Počet lůžek v hromadných ubytovacích zařízeních;2481.0
2023;Praha;Hotel, motel, botel **;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;
2023;Praha;Hotel, motel, botel *;Počet hromadných ubytovacích zařízení;4.0
2023;Praha;Hotel, motel, botel *;Počet pokojů v hromadných ubytovacích zařízeních;65.0
2023;Praha;Hotel, motel, botel *;Počet lůžek v hromadných ubytovacích zařízeních;221.0
2023;Praha;Hotel, motel, botel *;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;
2023;Praha;Hotel garni;Počet hromadných ubytovacích zařízení;36.0
2023;Praha;Hotel garni;Počet pokojů v hromadných ubytovacích zařízeních;868.0
2023;Praha;Hotel garni;Počet lůžek v hromadných ubytovacích zařízeních;1836.0
2023;Praha;Hotel garni;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;
2023;Praha;Penzion;Počet hromadných ubytovacích zařízení;101.0
2023;Praha;Penzion;Počet pokojů v hromadných ubytovacích zařízeních;1333.0
2023;Praha;Penzion;Počet lůžek v hromadných ubytovacích zařízeních;3353.0
2023;Praha;Penzion;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;
2023;Praha;Kemp;Počet hromadných ubytovacích zařízení;19.0
2023;Praha;Kemp;Počet pokojů v hromadných ubytovacích zařízeních;191.0
2023;Praha;Kemp;Počet lůžek v hromadných ubytovacích zařízeních;768.0
2023;Praha;Kemp;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;1017.0
2023;Praha;Chatová osada;Počet hromadných ubytovacích zařízení;
2023;Praha;Chatová osada;Počet pokojů v hromadných ubytovacích zařízeních;
2023;Praha;Chatová osada;Počet lůžek v hromadných ubytovacích zařízeních;
2023;Praha;Chatová osada;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;
2023;Praha;Turistická ubytovna;Počet hromadných ubytovacích zařízení;56.0
2023;Praha;Turistická ubytovna;Počet pokojů v hromadných ubytovacích zařízeních;1543.0
2023;Praha;Turistická ubytovna;Počet lůžek v hromadných ubytovacích zařízeních;5175.0
2023;Praha;Turistická ubytovna;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;
2023;Praha;Ostatní HUZ;Počet hromadných ubytovacích zařízení;100.0
2023;Praha;Ostatní HUZ;Počet pokojů v hromadných ubytovacích zařízeních;3330.0
2023;Praha;Ostatní HUZ;Počet lůžek v hromadných ubytovacích zařízeních;7876.0
2023;Praha;Ostatní HUZ;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;50.0
